log_fatality_rate,MedHHInc_10k,Region,State,County,UnempRate2019,PctEmpFIRE,PctEmpConstruction,PctEmpTrans,PctEmpMining,PctEmpTrade,PctEmpInformation,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PopDensity2010,OwnHomePct,Age65AndOlderPct2010,TotalPop25Plus,Under18Pct2010,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,ForeignBornPct,Net_International_Migration_Rate_2010_2019,NetMigrationRate1019,NaturalChangeRate1019,TotalPopEst2019,WhiteNonHispanicPct2010,Type_2015_Update,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Perpov_1980_0711,HiCreativeClass2000,HiAmenity,Retirement_Destination_2015_Update
-4.820281565605037,3.5308,Southwest,OK,Choctaw,4.8,4.946996466,9.32469572,8.578720063,3.140950137,11.07184923,0.510404397,3.690616411,6.360424028,47.50687083,19.74,68.80320481,18.15,10172,24.2,39.42194259,23.42705466,6.301612269,12.29846638,1.027811366,0.02,-2.698,-1.004,14672,63.75,0,7,9,1,0,0,0
-2.772588722239781,4.6777,Southwest,OK,Cimarron,1.7,4.604604605,5.905905906,5.105105105,1.801801802,10.11011011,0.900900901,24.42442442,5.405405405,30.33033033,1.35,73.51129363,21.41,1563,25.45,37.1081254,20.7293666,5.886116443,22.6487524,7.6747373230000004,0.486,-13.112,-0.405,2137,76.53,1,9,10,0,0,1,0
-4.117910837167584,6.2343,Southwest,OK,Cleveland,2.8,5.808440357,5.828373722,4.150411482,2.213315488,14.27727312,1.878007802,0.372326793,7.047868554,50.17868838,474.7,64.00513357,10.24,175319,23.14,25.63213343,25.7610413,8.112069998,32.46253971,6.24356329,1.898,6.911,3.564,284014,75.68,4,1,1,0,1,0,0
-4.110873864173311,3.9396,Southwest,OK,Coal,3.9,4.345837145,11.43641354,3.84263495,5.626715462,9.881061299,0.686184812,5.397987191,6.587374199,44.14455627,11.47,72.62969589,17.77,3779,25.5,41.67769251,20.587457,3.572373644,17.59724795,0.676397294,0.017,-5.329,-1.709,5495,73.06,1,9,10,1,0,0,0
-3.353734461314839,4.9164,Southwest,AZ,Cochise,5.7,3.691672274,6.501612641,3.972434276,0.580086781,13.43016915,1.176415992,2.547741142,3.461957909,48.18896907,21.3,69.16954315,17.27,87467,23.03,23.50600798,29.19729727,11.47632822,22.99838796,11.00499687,1.821,-6.351,1.875,125922,58.48,4,3,2,0,1,1,0
-4.65633847256249,5.1382,Southwest,OK,Comanche,3.7,5.244174847,5.145808144,3.959259791,1.024653155,13.38606882,1.411972047,0.791032236,8.988257475,49.47845154,116.06,54.48955644,10.24,77394,25.09,32.07742202,27.55639972,7.470863374,22.5430912,5.22923279,2.132,-9.672,5.966,120749,58.92,4,3,2,0,0,1,0
-2.3978952727983707,4.3386,Southwest,OK,Cotton,3.2,3.278688525,7.27196301,7.145859605,2.101723413,10.08827238,1.471206389,3.699033207,11.89575452,44.72467423,9.79,78.25497288,16.97,4068,24.61,43.41199607,25.17207473,4.080629302,13.17600787,0.236127509,0.065,-6.902,-1.296,5666,79.2,1,3,2,0,0,0,0
-4.135166556742356,4.3074,Southwest,OK,Craig,3.6,3.293622985,6.42957253,8.076384022,1.524176594,14.52347582,1.138752628,5.185704275,6.341976174,47.77505256,19.74,71.15773974,17.44,10170,22.71,40.05899705,22.16322517,9.498525074,14.83775811,1.586973021,0.153,-3.021,-3.074,14142,65.55,4,6,6,0,0,0,0
-3.6303832474323277,5.4478,Southwest,OK,Creek,3.7,5.095353562,8.054263058,7.002424798,2.490333574,13.97863556,1.726849728,0.865063241,14.44065797,42.33567075,73.64,74.70159898,14.97,48265,24.91,40.5138299,22.40339791,7.500258987,16.33689009,2.106520517,0.662,1.784,0.03,71522,78.35,0,2,2,0,0,0,0
-5.8111409929767,4.9577,Southwest,OK,Custer,2.5,4.218255111,6.593723006,5.492369709,9.350705442,14.48315577,0.669450043,3.289663115,5.506766484,44.80996257,27.78,60.05711566,13.36,17009,23.34,30.64848022,23.99905932,5.714621671,25.50414486,6.792426992,1.929,0.33,4.83,29003,73.42,2,7,8,0,0,0,0
-3.2152328335897,4.0287,Southwest,OK,Delaware,3.8,4.074581133,9.40087359,5.358889106,1.114805398,12.74528978,1.017015451,2.861985788,13.25379751,44.73564118,56.2,75.78737782,20.58,30331,22.43,35.61702549,22.98638357,7.754442649,17.56948337,2.151405775,0.257,6.265,-2.784,43009,65.87,5,6,6,0,0,0,1
-2.4423470353692043,5.0728,Southwest,OK,Dewey,2.1,3.811764706,6.964705882,6.352941176,7.717647059,16.09411765,0.047058824,9.505882353,5.6,37.88235294,4.81,75.24985303,19.92,3210,25.38,39.40809969,23.20872274,5.638629283,24.51713396,3.334688898,1.767,2.786,-1.102,4891,85.99,2,9,10,0,0,0,0
-2.0794415416798357,5.1867,Southwest,OK,Ellis,2.5,3.631284916,8.770949721,9.497206704,10.83798883,11.00558659,0.446927374,8.882681564,3.016759777,37.65363128,3.37,73.36652147,19.08,2827,24.84,38.59214715,24.12451362,4.633887513,19.98585073,2.455795678,1.106,-4.449,-2.742,3859,90.56,2,9,10,0,0,1,0
-4.3377933796970565,5.2387,Southwest,OK,Garfield,3,4.005426246,7.300442667,5.883192917,7.275453377,15.76110238,1.192346137,1.595744681,8.781950593,42.65671855,57.23,64.4518133,15.34,40501,24.67,36.77193156,21.23651268,7.777585739,22.39944693,6.909470976,2.62,-3.27,3.749,61056,80.46,0,5,8,0,0,0,0
-3.9627161197436642,4.7858,Southwest,OK,Garvin,3.2,3.861826264,7.621781811,6.871642897,8.936840156,17.20689016,0.916836451,2.685682534,11.80774217,34.11742915,34.38,68.35491607,17.25,18616,24.42,45.1009884,21.66415986,4.367211001,14.51976794,3.292240233,1.099,0.732,-0.247,27711,79.02,2,6,4,0,0,0,0
-3.268340677020046,6.0187,Southwest,AZ,Coconino,5.5,3.355451666,5.442618006,4.616196652,0.248831247,11.92429498,0.956115216,1.260744986,7.240235259,58.86894888,7.22,60.57407564,8.87,82119,23.65,21.43718263,23.56945408,9.000353146,35.62391164,4.844633675,0.947,0.993,5.592,143476,55.22,4,3,2,0,1,1,0
-4.206556552829029,5.6489,Southwest,OK,Grady,3.1,4.396674103,8.217400122,5.946055567,6.927600892,14.26079903,1.062664774,1.873859258,8.472926384,41.10728047,47.64,77.71728171,13.66,36889,25.13,39.75439833,23.48667624,6.262029331,19.73216948,2.130341841,0.677,5.45,1.022,55834,83.64,0,1,1,0,0,0,0
-3.295836866004329,4.9073,Southwest,OK,Grant,2.1,4.248046875,10.9375,7.080078125,7.275390625,12.74414063,1.318359375,12.01171875,6.201171875,32.56835938,4.52,75.89041096,21.25,3023,22.66,34.70062851,22.85808799,9.394641085,23.12272577,1.154368493,0.022,-2.865,-1.631,4333,91.5,1,9,10,0,0,0,0
